Tag,Overall Width in,Overall Height in,Qty,Type,System,Glass Type
S1,45.5,87.25,14,Overlap,SWR,GL-1
S2,45.375,95.375,10,Overlap,SWR,GL-1
S3,45.5,61.25,15,Overlap,SWR,GL-1
S4,46.5,87.5,15,Overlap,SWR,GL-1
S5,35,71.25,12,Overlap,SWR,GL-1
S6,45.5,86.25,13,Overlap,SWR,GL-1
S7,40.875,95.5,6,Overlap,SWR,GL-1
S8,46.875,60.75,3,Overlap,SWR,GL-1
S9,43,79.5,9,Overlap,SWR,GL-1
S10,43,84.75,6,Overlap,SWR,GL-1
S11,43,95.125,6,Overlap,SWR,GL-1
S12,45.5,75.125,2,Overlap,SWR,GL-1
S13,37,107,3,Overlap,SWR,GL-1
S14,47,95.5,3,Overlap,SWR,GL-1